curLapTime,speedX,steer,accel,brake,gear,trackPos,angle,damage,rpm,distRaced
3.172,13.9079,0.0,1.0,0.0,2,0.328595,-0.000873391,0.0,1083.42,8.49597
3.194,14.2088,0.0,1.0,0.0,2,0.328609,0.000393566,0.0,1105.47,8.58521
3.216,14.4332,0.0,1.0,0.0,2,0.328601,0.00163096,0.0,1089.35,8.67603
3.238,14.6804,0.0,1.0,0.0,2,0.328577,0.0029723,0.0,1108.0,8.76831
3.26,14.9588,0.0,1.0,0.0,2,0.328535,0.00432556,0.0,1136.82,8.86218
3.282,15.1685,0.0,1.0,0.0,2,0.328474,0.00563544,0.0,1137.88,8.95764
3.304,15.409,0.0,1.0,0.0,2,0.328398,0.00706023,0.0,1178.26,9.05457
3.326,15.4955,0.0,1.0,0.0,2,0.328301,0.00847214,0.0,1054.64,9.15247
3.348,15.3673,0.0,1.0,0.0,2,0.328188,0.00985163,0.0,1128.34,9.25012
3.37,15.4523,0.0,1.0,0.0,2,0.328057,0.0112521,0.0,1113.73,9.34778
3.392,15.3885,0.0,1.0,0.0,2,0.327908,0.0126287,0.0,1097.72,9.44543
3.414,15.392,0.0,1.0,0.0,2,0.327743,0.0140554,0.0,1119.53,9.54285
3.436,15.3821,0.0,1.0,0.0,2,0.327559,0.0154201,0.0,1146.41,9.64038
3.458,15.5962,0.0,1.0,0.0,2,0.327359,0.0168254,0.0,1171.2,9.73853
3.48,15.8647,0.0,1.0,0.0,2,0.327135,0.0182912,0.0,1200.93,9.83826
3.502,16.122,0.0,1.0,0.0,2,0.32689,0.0196964,0.0,1198.77,9.93958
3.524,16.3198,0.0,1.0,0.0,2,0.32662,0.0211765,0.0,1247.3,10.0424
3.546,16.6468,0.05,1.0,0.0,2,0.326328,0.0227215,0.0,1250.84,10.1469
3.568,16.8501,0.1,1.0,0.0,2,0.32601,0.024223,0.0,1255.7,10.2529
3.59,17.1084,0.15000000000000002,1.0,0.0,2,0.325663,0.0257685,0.0,1283.48,10.3605
3.612,17.3897,0.2,1.0,0.0,2,0.325292,0.0273649,0.0,1293.31,10.4697
3.634,17.5908,0.25,1.0,0.0,2,0.324893,0.0289385,0.0,1352.0,10.5804
3.656,17.8915,0.3,1.0,0.0,2,0.324463,0.0305201,0.0,1332.92,10.6929
3.678,18.1247,0.21,1.0,0.0,2,0.324002,0.0320966,0.0,1431.63,10.8069
3.7,18.3732,0.147,1.0,0.0,2,0.323513,0.033714,0.0,1402.71,10.9225
3.722,18.6473,0.10289999999999999,1.0,0.0,2,0.322993,0.0354029,0.0,1405.94,11.0397
3.744,18.9281,0.07202999999999998,1.0,0.0,2,0.322441,0.0371124,0.0,1428.17,11.1586
3.766,19.1389,0.05042099999999999,1.0,0.0,2,0.321854,0.0388333,0.0,1414.97,11.2791
3.788,19.4375,0.03529469999999999,1.0,0.0,2,0.32123,0.0405938,0.0,1466.85,11.4011
3.81,19.6996,0.024706289999999992,1.0,0.0,2,0.32057,0.042349,0.0,1459.18,11.5249
3.832,19.9108,0.017294402999999993,1.0,0.0,2,0.319872,0.0441181,0.0,1529.28,11.6503
3.854,20.2378,0.012106082099999995,1.0,0.0,2,0.319136,0.0459425,0.0,1478.48,11.7772
3.876,20.4765,0.008474257469999996,1.0,0.0,2,0.318361,0.0477659,0.0,1538.03,11.9059
3.898,20.7257,0.0,1.0,0.0,2,0.317546,0.0496137,0.0,1532.29,12.0361
3.92,21.0047,0.0,1.0,0.0,2,0.316689,0.0515138,0.0,1595.63,12.1681
3.942,21.2717,0.0,1.0,0.0,2,0.315852,0.0528967,0.0,1599.52,12.3016
3.964,21.485,0.0,1.0,0.0,2,0.315114,0.0534908,0.0,1618.96,12.4369
3.986,21.8276,0.0,1.0,0.0,2,0.314503,0.0532834,0.0,1595.48,12.5739
4.008,22.0291,0.0,1.0,0.0,2,0.314039,0.0522129,0.0,1678.14,12.7125
4.03,22.2691,0.0,1.0,0.0,2,0.313737,0.0503313,0.0,1681.06,12.8528
4.052,22.5579,0.05,1.0,0.0,2,0.313614,0.0476782,0.0,1667.16,12.9948
4.074,22.8288,0.1,1.0,0.0,2,0.313534,0.0454318,0.0,1705.39,13.1384
4.096,23.0551,0.15000000000000002,1.0,0.0,2,0.313306,0.0443808,0.0,1724.87,13.2838
4.118,23.371,0.2,1.0,0.0,2,0.312923,0.044244,0.0,1751.69,13.4308
4.14,23.6891,0.25,1.0,0.0,2,0.312396,0.0447919,0.0,1780.71,13.5796
4.162,23.9038,0.3,1.0,0.0,2,0.31175,0.045768,0.0,1759.98,13.73
4.184,24.2042,0.35,1.0,0.0,2,0.311005,0.0471622,0.0,1798.08,13.8822
4.206,24.5228,0.39999999999999997,1.0,0.0,2,0.310172,0.0487911,0.0,1790.1,14.036
4.228,24.7371,0.27999999999999997,1.0,0.0,2,0.30926,0.0505759,0.0,1877.54,14.1915
4.25,25.0293,0.19599999999999998,1.0,0.0,2,0.308275,0.0525605,0.0,1839.68,14.3488
4.272,25.3459,0.1372,1.0,0.0,2,0.307218,0.054608,0.0,1886.84,14.5078
4.294,25.5467,0.09603999999999999,1.0,0.0,2,0.306084,0.0568201,0.0,1917.9,14.6685
4.316,25.8908,0.06722799999999998,1.0,0.0,2,0.304875,0.0591232,0.0,1885.07,14.8308
4.338,26.1895,0.047059599999999986,1.0,0.0,2,0.303599,0.0614535,0.0,1948.29,14.995
4.36,26.4156,0.03294171999999999,1.0,0.0,2,0.302259,0.0638234,0.0,1957.18,15.1608
4.382,26.7082,0.02305920399999999,1.0,0.0,2,0.300852,0.0662281,0.0,1989.58,15.3284
4.404,27.0147,0.016141442799999992,1.0,0.0,2,0.299377,0.0686695,0.0,2014.44,15.4977
